# Filename: 20180418_133300_smooth_nadir3seg_50pt.csv
# Input filename: 20180418_133300.atm6AT6.filt.qi
# Number of segments: 3
# Nadir block width: 80.0m
# Output interval: 0.25sec
# Smoothing interval: 0.5sec
# Trajectory file used: 180418_aa_l12_cfm_itrf14_14may18_b897
# International Terrestrial Reference Frame: ITRF14
#
# UTC_Seconds_Of_Day, Latitude(deg), Longitude(deg), WGS84_Ellipsoid_Height(m), South-to-North_Slope, West-to-East_Slope, RMS_Fit(cm), Number_Of_ATM_Measurments_Used, Number_Of_ATM_Measurements_Removed, Distance_Of_Block_To_The_Right_Of_Aircraft(m), Track_Identifier
48782.75, 79.211271, 334.846721, 891.4235, 0.0031506, -0.0053608, 6.84, 1859, 10, 106, 1
48782.75, 79.211989, 334.848221, 891.6056, 0.0034413, -0.0033487, 7.07, 995, 6, 20, 2
48782.75, 79.212707, 334.849722, 891.7156, 0.0021054, -0.0034887, 6.03, 1724, 12, -66, 3
48782.75, 79.212155, 334.848567, 891.6397, 0.0025285, -0.0036073, 6.51, 912, 7, 0, 0
48783.00, 79.211153, 334.848296, 891.1921, 0.0036415, -0.0060926, 6.73, 1882, 9, 106, 1
48783.00, 79.211870, 334.849794, 891.4414, 0.0037177, -0.0037578, 6.96, 1001, 4, 20, 2
48783.00, 79.212587, 334.851292, 891.5605, 0.0022562, -0.0042788, 5.58, 1708, 8, -66, 3
48783.00, 79.212039, 334.850146, 891.4861, 0.0030112, -0.0038407, 6.70, 929, 6, 0, 0
48783.25, 79.211035, 334.849869, 890.9943, 0.0039530, -0.0040888, 6.98, 1873, 5, 106, 1
48783.25, 79.211751, 334.851365, 891.2689, 0.0041321, -0.0033297, 6.82, 1030, 7, 21, 2
48783.25, 79.212468, 334.852860, 891.4360, 0.0018756, -0.0015772, 7.46, 1720, 10, -65, 3
48783.25, 79.211923, 334.851724, 891.3228, 0.0039455, -0.0034233, 6.78, 964, 8, 0, 0
48783.50, 79.210917, 334.851444, 890.8443, 0.0047234, -0.0029953, 7.33, 1877, 3, 106, 1
48783.50, 79.211632, 334.852937, 891.1107, 0.0047137, -0.0027803, 6.21, 984, 11, 21, 2
48783.50, 79.212348, 334.854430, 891.3188, 0.0030233, -0.0031628, 7.26, 1713, 13, -64, 3
48783.50, 79.211808, 334.853304, 891.1725, 0.0049700, -0.0023934, 6.08, 952, 10, 0, 0
48783.75, 79.210799, 334.853021, 890.7139, 0.0040751, -0.0014194, 7.69, 1861, 9, 107, 1
48783.75, 79.211514, 334.854511, 890.9555, 0.0040899, -0.0029597, 5.83, 983, 6, 21, 2
48783.75, 79.212228, 334.856000, 891.1810, 0.0025879, -0.0023628, 6.10, 1686, 16, -64, 3
48783.75, 79.211692, 334.854884, 891.0138, 0.0051040, -0.0031355, 5.41, 942, 5, 0, 0
48784.00, 79.210682, 334.854602, 890.5724, 0.0043750, -0.0031714, 8.60, 1802, 2, 107, 1
48784.00, 79.211395, 334.856087, 890.8278, 0.0036367, -0.0016422, 6.63, 1010, 5, 22, 2
48784.00, 79.212109, 334.857572, 891.0494, 0.0036442, -0.0021267, 6.05, 1710, 8, -64, 3
48784.00, 79.211577, 334.856465, 890.8733, 0.0039726, -0.0016872, 6.20, 934, 13, 0, 0
48784.25, 79.210565, 334.856177, 890.4142, 0.0040365, -0.0026095, 7.62, 1795, 11, 107, 1
48784.25, 79.211277, 334.857661, 890.6997, 0.0046456, -0.0024400, 6.81, 975, 11, 22, 2
48784.25, 79.211988, 334.859144, 890.9203, 0.0040410, -0.0022234, 5.95, 1717, 16, -63, 3
48784.25, 79.211462, 334.858046, 890.7564, 0.0038606, -0.0024640, 6.83, 921, 7, 0, 0
48784.50, 79.210448, 334.857764, 890.2792, 0.0039845, -0.0025440, 7.27, 1832, 6, 107, 1
48784.50, 79.211159, 334.859240, 890.5709, 0.0044009, -0.0014345, 5.91, 984, 5, 22, 2
48784.50, 79.211870, 334.860716, 890.8048, 0.0033798, -0.0017355, 6.30, 1676, 21, -63, 3
48784.50, 79.211346, 334.859628, 890.6390, 0.0033419, -0.0015900, 6.01, 927, 2, 0, 0
48784.75, 79.210332, 334.859343, 890.1439, 0.0048799, -0.0027051, 8.14, 1813, 3, 107, 1
48784.75, 79.211041, 334.860817, 890.4714, 0.0048734, -0.0011945, 6.37, 986, 2, 23, 2
48784.75, 79.211751, 334.862291, 890.7209, 0.0030244, -0.0003540, 6.01, 1657, 11, -62, 3
48784.75, 79.211230, 334.861210, 890.5479, 0.0033981, -0.0013454, 6.09, 943, 2, 0, 0
48785.00, 79.210216, 334.860923, 890.0016, 0.0054291, -0.0022136, 7.93, 1766, 1, 107, 1
48785.00, 79.210924, 334.862394, 890.3849, 0.0056440, -0.0001692, 6.66, 914, 6, 23, 2
48785.00, 79.211632, 334.863866, 890.6708, 0.0033027, -0.0001889, 5.82, 1581, 12, -62, 3
48785.00, 79.211115, 334.862793, 890.4755, 0.0038859, -0.0005293, 6.73, 878, 6, 0, 0
48785.25, 79.210100, 334.862510, 889.8861, 0.0050195, -0.0010080, 7.80, 1635, 1, 107, 1
48785.25, 79.210807, 334.863977, 890.2961, 0.0063801, -0.0006656, 5.50, 775, 4, 23, 2
