# Filename: ILATM2_20140429_155335_smooth_nadir3seg_50pt.csv
# Input filename: ILATM1B_20140429_155335.ATM4BT4.qi
# Number of segments: 3
# Nadir block width: 80.0m
# Output interval: 0.25sec
# Smoothing interval: 0.5sec
# Trajectory file used: 140429_aa_l12_cfm_itrf08_05jun14_b898
# International Terrestrial Reference Frame: ITRF08
#
# UTC_Seconds_Of_Day, Latitude(deg), Longitude(deg), WGS84_Ellipsoid_Height(m), South-to-North_Slope, West-to-East_Slope, RMS_Fit(cm), Number_Of_ATM_Measurments_Used, Number_Of_ATM_Measurements_Removed, Distance_Of_Block_To_The_Right_Of_Aircraft(m), Track_Identifier
57201.75, 79.202566, 341.710622, 30.1881, -0.0013187, 0.0385190, 71.19, 554, 0, 83, 1
57201.75, 79.202573, 341.715087, 31.8380, -0.0359681, -0.0575969, 152.01, 321, 0, -10, 2
57201.75, 79.202580, 341.719551, 36.1526, 0.0230778, 0.1258316, 161.40, 623, 0, -103, 3
57201.75, 79.202572, 341.714609, 32.5185, -0.0452124, -0.0346351, 148.86, 274, 0, 0, 0
57202.00, 79.202263, 341.710564, 30.2259, 0.0002755, 0.0468730, 81.11, 554, 0, 85, 1
57202.00, 79.202270, 341.715029, 32.3919, 0.0023822, -0.0712206, 152.96, 329, 0, -8, 2
57202.00, 79.202278, 341.719494, 34.7116, 0.0445944, 0.1352846, 152.87, 624, 0, -102, 3
57202.00, 79.202270, 341.714622, 33.1235, 0.0028949, -0.0493380, 154.47, 283, 0, 0, 0
57202.25, 79.201961, 341.710507, 30.1083, 0.0016408, 0.0466538, 95.69, 550, 0, 86, 1
57202.25, 79.201969, 341.714977, 32.0917, 0.0146427, -0.0797819, 141.47, 335, 0, -7, 2
57202.25, 79.201976, 341.719447, 32.7306, 0.0576740, 0.1428835, 161.89, 623, 0, -100, 3
57202.25, 79.201968, 341.714638, 32.7155, 0.0178384, -0.0747241, 151.04, 283, 0, 0, 0
57202.50, 79.201658, 341.710443, 29.7722, 0.0072061, 0.0378213, 101.05, 556, 0, 88, 1
57202.50, 79.201667, 341.714922, 31.6600, 0.0136472, -0.0865383, 139.22, 333, 0, -6, 2
57202.50, 79.201675, 341.719401, 30.6417, 0.0904269, 0.1050509, 213.98, 626, 0, -99, 3
57202.50, 79.201666, 341.714654, 32.1009, 0.0168793, -0.0950329, 145.41, 283, 0, 0, 0
57202.75, 79.201356, 341.710381, 28.6492, 0.0008390, 0.0002039, 12.82, 504, 49, 89, 1
57202.75, 79.201365, 341.714867, 30.5600, 0.0523832, -0.0554196, 170.32, 333, 0, -4, 2
57202.75, 79.201374, 341.719353, 28.9122, -0.0014452, 0.0096629, 45.05, 541, 83, -98, 3
57202.75, 79.201364, 341.714670, 30.7951, 0.0586336, -0.0632337, 173.69, 284, 0, 0, 0
