# Filename: 20180418_133700_smooth_nadir3seg_50pt.csv
# Input filename: 20180418_133700.atm6AT6.filt.qi
# Number of segments: 3
# Nadir block width: 80.0m
# Output interval: 0.25sec
# Smoothing interval: 0.5sec
# Trajectory file used: 180418_aa_l12_cfm_itrf14_14may18_b897
# International Terrestrial Reference Frame: ITRF14
#
# UTC_Seconds_Of_Day, Latitude(deg), Longitude(deg), WGS84_Ellipsoid_Height(m), South-to-North_Slope, West-to-East_Slope, RMS_Fit(cm), Number_Of_ATM_Measurments_Used, Number_Of_ATM_Measurements_Removed, Distance_Of_Block_To_The_Right_Of_Aircraft(m), Track_Identifier
49022.75, 79.096501, 336.323998, 771.8289, -0.0133789, 0.0158512, 8.72, 1866, 2, 101, 1
49022.75, 79.097241, 336.325704, 771.1394, -0.0154318, 0.0147073, 8.11, 934, 2, 11, 2
49022.75, 79.097982, 336.327409, 770.4152, -0.0138390, 0.0153118, 6.90, 1748, 12, -79, 3
49022.75, 79.097330, 336.325907, 771.0493, -0.0161093, 0.0146381, 8.54, 826, 1, 0, 0
49023.00, 79.096366, 336.325493, 772.5646, -0.0136778, 0.0173541, 8.52, 1871, 8, 102, 1
49023.00, 79.097105, 336.327196, 771.8764, -0.0162242, 0.0169961, 7.10, 957, 3, 12, 2
49023.00, 79.097844, 336.328900, 771.1509, -0.0149769, 0.0169633, 7.50, 1757, 1, -78, 3
49023.00, 79.097205, 336.327427, 771.7783, -0.0166007, 0.0169530, 7.68, 849, 1, 0, 0
49023.25, 79.096231, 336.326994, 773.3125, -0.0143334, 0.0168890, 9.29, 1879, 5, 103, 1
49023.25, 79.096968, 336.328691, 772.6490, -0.0157028, 0.0164903, 6.63, 969, 3, 14, 2
49023.25, 79.097704, 336.330387, 771.9486, -0.0162840, 0.0176992, 7.55, 1698, 6, -76, 3
49023.25, 79.097079, 336.328948, 772.5453, -0.0158133, 0.0166475, 6.93, 876, 1, 0, 0
49023.50, 79.096099, 336.328499, 774.0994, -0.0179190, 0.0197825, 7.46, 1860, 26, 104, 1
49023.50, 79.096832, 336.330188, 773.4317, -0.0160733, 0.0181128, 5.84, 977, 1, 15, 2
49023.50, 79.097566, 336.331876, 772.7955, -0.0171958, 0.0191089, 8.44, 1703, 9, -74, 3
49023.50, 79.096954, 336.330468, 773.3242, -0.0159492, 0.0182741, 5.92, 889, 1, 0, 0
49023.75, 79.095969, 336.330007, 774.9752, -0.0184887, 0.0192590, 7.26, 1877, 5, 104, 1
49023.75, 79.096698, 336.331689, 774.2615, -0.0160482, 0.0194308, 5.82, 1007, 0, 16, 2
49023.75, 79.097428, 336.333371, 773.6360, -0.0166789, 0.0184931, 7.87, 1722, 11, -73, 3
49023.75, 79.096829, 336.331989, 774.1523, -0.0158458, 0.0197156, 5.90, 903, 0, 0, 0
49024.00, 79.095840, 336.331516, 775.8607, -0.0181695, 0.0193182, 7.07, 1853, 6, 105, 1
49024.00, 79.096566, 336.333194, 775.1303, -0.0162868, 0.0205569, 6.12, 1002, 1, 17, 2
49024.00, 79.097292, 336.334871, 774.4884, -0.0169062, 0.0206820, 7.65, 1716, 3, -72, 3
49024.00, 79.096703, 336.333511, 775.0121, -0.0161755, 0.0199280, 6.62, 914, 1, 0, 0
49024.25, 79.095712, 336.333035, 776.8214, -0.0191164, 0.0229312, 7.58, 1876, 3, 105, 1
49024.25, 79.096435, 336.334704, 776.0742, -0.0184912, 0.0224283, 6.96, 997, 0, 17, 2
49024.25, 79.097159, 336.336374, 775.4190, -0.0170809, 0.0226599, 7.41, 1689, 1, -71, 3
49024.25, 79.096578, 336.335033, 775.9270, -0.0184907, 0.0218819, 6.58, 919, 2, 0, 0
49024.50, 79.095585, 336.334554, 777.8574, -0.0207493, 0.0245602, 6.73, 1890, 7, 105, 1
49024.50, 79.096305, 336.336215, 777.0523, -0.0191860, 0.0223704, 6.08, 1021, 2, 18, 2
49024.50, 79.097025, 336.337877, 776.4107, -0.0170943, 0.0241261, 6.34, 1640, 5, -70, 3
49024.50, 79.096452, 336.336555, 776.8982, -0.0186864, 0.0228796, 5.76, 938, 2, 0, 0
