ATM_lat,ATM_long,PS_x,PS_y,ATM_elev,dist_along,slope_NS,slope_EW
79.202572,341.714609,527314.0468452007,-1047781.6432533214,32.5185,0.0,-0.0452124,-0.0346351
79.20227,341.714622,527329.1175169554,-1047810.9968828091,33.1235,32.996374213491606,0.0028949,-0.049338
79.20196800000001,341.714638,527344.2430739407,-1047840.3229079365,32.7155,65.99331685811981,0.0178384,-0.07472410000000002
79.201666,341.714654,527359.368654446,-1047869.6489387968,32.1009,98.99027537917073,0.0168793,-0.09503289999999999
79.201364,341.71467,527374.4942584686,-1047898.9749753939,30.7951,131.98724977894813,0.0586336,-0.0632337
79.201062,341.71469,527389.6930452014,-1047928.2641989822,28.9989,164.9851548117382,-0.0108408,0.0036235
79.20076,341.71470800000003,527404.8552789241,-1047957.5718360924,31.7861,197.98259296151656,-0.1533089,0.0438287
79.200458,341.714729,527420.0724106736,-1047986.8518622334,36.3065,230.9807903289102,-0.1176065,0.1108435
79.20015500000001,341.71475,527435.3386871363,-1048016.2294853226,37.1749,264.0882507481132,0.0571467,0.1326614
79.199853,341.714773,527450.5924599,-1048045.491106173,37.0443,297.08703918524805,-0.0447271,0.14224679999999998
79.199551,341.714799,527465.9011404044,-1048074.7251109992,38.8824,330.08677762305376,-0.040315199999999995,0.09670219999999999
79.199249,341.714827,527481.2464403772,-1048103.940703685,41.1823,363.08721833588436,-0.08820349999999999,0.0801197
79.19894599999999,341.714857,527496.677479235,-1048133.2354765773,42.8584,396.19764991023214,-0.0130953,0.13231429999999997
79.19864399999999,341.714888,527512.0777335125,-1048162.4234469963,42.2919,429.19924758351857,0.048147300000000004,0.047894400000000004
79.198341,341.714923,527527.6003207249,-1048191.6721807856,42.6942,462.31177001905735,-0.0689414,-0.019367099999999998
79.198039,341.71496099999996,527543.1287191251,-1048220.795694103,44.1538,495.31646945452025,0.0085545,0.0511557
79.19773599999999,341.715002,527558.7611664273,-1048249.9891724971,42.6984,528.4319128216517,0.0823306,0.11278930000000001
79.197434,341.715044,527574.3628420506,-1048279.0758413158,37.9656,561.438678570899,0.21321120000000002,0.11035410000000001
79.197131,341.71508900000003,527590.0685738848,-1048308.2324714222,31.4059,594.5563338563728,0.10098510000000001,0.0042582
79.196828,341.715136,527605.8109528678,-1048337.3706747897,29.269,627.6751712684973,0.013419899999999998,-0.0013885999999999998
79.196525,341.715185,527621.5899820508,-1048366.4904497695,29.0923,660.7952415709054,-0.0033964,-0.0007997000000000001
79.196223,341.715236,527637.3565472695,-1048395.4942006564,29.1836,693.8073930352296,-0.0014129000000000001,0.0013481
79.19592,341.71529100000004,527653.2454828107,-1048424.5586953269,29.1221,726.9314495966102,0.0054743000000000005,0.0014237
79.195617,341.715348,527669.171079718,-1048453.6047555344,29.0577,760.0569420523631,-0.0020045,-0.0010544
79.195314,341.71540600000003,527685.1150415655,-1048482.6415894512,29.1466,793.183180041372,-0.0032703000000000003,0.0
79.195011,341.715466,527701.0956698507,-1048511.659986124,29.2307,826.3109301287161,-0.00043200000000000004,0.0025441
79.19470799999999,341.71553,527717.1495685846,-1048540.6415230767,29.2896,859.4418393932929,-0.0017530000000000002,0.0029755
79.194404,341.715598,527733.3258618145,-1048569.6837909664,29.3313,892.6852716294245,-0.0004414,0.0019021
79.194101,341.715666,527749.4531138057,-1048598.6284422255,29.2349,925.8195604145895,0.006413500000000001,0.00043979999999999996
79.193798,341.715739,527765.6719524106,-1048627.5270146471,29.1059,958.9583324754102,0.0017580999999999999,-0.0008187999999999998
79.193494,341.715814,527781.9765960908,-1048656.5047325613,29.0717,992.2081376034305,-0.0005574,0.0022467
79.19319,341.715891,527798.3179297611,-1048685.46400025,29.0525,1025.4598799816747,0.0027593000000000006,0.0029585
79.192887,341.715971,527814.6651412483,-1048714.2980099611,28.9257,1058.605489637078,0.005774100000000001,0.0007267
79.192583,341.716053,527831.0981683691,-1048743.211159408,28.9203,1091.8622873075906,-0.0061542,0.0045264
79.192279,341.716139,527847.6045046313,-1048772.0874275547,29.1251,1125.1233456020818,-0.0056914999999999995,0.0050628999999999995
79.191975,341.716227,527864.1475460256,-1048800.9452368813,29.1964,1158.386619309061,0.002109,0.0007351
79.191671,341.716316,527880.7089900419,-1048829.7937989084,29.0661,1191.651029102951,0.006087899999999999,0.0010308
79.191366,341.716411,527897.4294879661,-1048858.6846388353,28.9921,1225.0314976813968,-0.0023633000000000005,0.0013636
79.191062,341.716504,527914.0643575313,-1048887.496274512,29.009,1258.3005408870588,0.0023864,0.0008016
79.190758,341.7166,527930.75425035,-1048916.2802308612,28.9267,1291.5731822821715,0.0021965,-0.0001595
79.190453,341.716699,527947.5482910923,-1048945.1340989585,28.8569,1324.9585909007794,0.0014892000000000002,-0.0027679000000000002
79.190148,341.7168,527964.3790564705,-1048973.969497117,28.827,1358.3465355841004,-0.0007602,0.0002589
79.189844,341.716904,527981.2157375014,-1049002.6796149518,28.8426,1391.6293343580646,-0.0006971,0.0
79.189539,341.717008,527998.1016524535,-1049031.487282991,28.8205,1425.0211875804093,0.0017235,-0.0023342
79.189234,341.717115,528015.0426096375,-1049060.2672607845,28.8014,1458.4170428937105,-0.00044189999999999995,-0.0013864
79.188929,341.717222,528031.9836834037,-1049089.0471933614,28.8118,1491.8129183798367,0.00030230000000000003,0.0002682
79.18862299999999,341.717333,528049.0472373742,-1049117.8878093797,28.7823,1525.3233049251946,0.0014351,-0.00035099999999999997
79.18831800000001,341.717444,528066.0617907739,-1049146.6307843316,28.7284,1558.7247066393838,0.0011617,-0.0018795
79.188012,341.717557,528083.1622097124,-1049175.4528714549,28.704,1592.2379433379892,-0.00044589999999999994,-0.0025517
79.187706,341.717672,528100.299375826,-1049204.2564755224,28.6901,1625.754059904266,0.0003286,-0.0027070999999999996
79.187401,341.717788,528117.4058573087,-1049232.9532189048,28.7092,1659.1626634289446,-0.0021073,-0.0024839000000000003
79.187095,341.717905,528134.5798999454,-1049261.7382872119,28.736,1692.6817311058967,0.0,-0.0011714
79.186789,341.718024,528151.7906967923,-1049290.504868274,28.7326,1726.2037792848892,-0.0004518,0.00025939999999999996
79.186482,341.718145,528169.0873737873,-1049319.3505533598,28.7369,1759.8378183396246,0.0002138,0.00011200000000000001
79.186176,341.718266,528186.3350591604,-1049348.0985916508,28.76,1793.3629187318522,-0.0021655999999999997,0.0003333
79.185869,341.71839,528203.6869442457,-1049376.916512546,28.8428,1827.0015941030515,-0.0023522,0.0001561
79.185562,341.71851200000003,528221.0023327159,-1049405.7528162338,28.87,1860.6372164141317,0.00046730000000000003,0.0003949
79.185255,341.718636,528238.3544859063,-1049434.5706265387,28.8556,1894.2759353420927,-0.0004973,0.000941
79.18494799999999,341.718762,528255.7434068362,-1049463.3699416418,28.8562,1927.9178009489904,-0.00020619999999999997,-0.0010719000000000002
79.184641,341.718888,528273.1324643304,-1049492.1691999335,28.8692,1961.5596885103485,-0.0012527999999999999,-0.0026477
79.18433399999999,341.719016,528290.558293586,-1049520.949960597,28.8683,1995.2047729896403,0.0006926,-0.0018062999999999998
79.184026,341.719144,528308.0333862408,-1049549.8282558229,28.8622,2028.9588067995753,-0.0009359,-0.0012697000000000001
79.183719,341.71927400000004,528325.4961300981,-1049578.5904583326,28.8942,2062.607160640933,-0.0007151,-0.0005282
79.18341099999999,341.719404,528343.0081398523,-1049607.4501940603,28.8937,2096.364453659007,0.0009796,0.0008158
79.183103,341.719537,528360.5752495119,-1049636.2822055223,28.8641,2130.126684431468,0.0011365,0.0003307
79.182795,341.719672,528378.1791434948,-1049665.0957118988,28.8331,2163.8922768750977,0.0008314,0.0003474
79.182486,341.719807,528395.8323096569,-1049694.0067480986,28.8439,2197.7667848375386,-0.0014353,0.00039160000000000003
79.18217800000001,341.71994,528413.3998538718,-1049722.83857464,28.8624,2231.5290838032806,0.00028819999999999996,-0.0006251000000000001
79.18186999999999,341.720078,528431.0591503007,-1049751.6242256698,28.8587,2265.299847128566,-0.0002358,-0.00040990000000000004
79.181561,341.720216,528448.7677226907,-1049780.507404467,28.8592,2299.1795099593933,0.0002469,0.0
79.181252,341.720356,528466.5130899886,-1049809.3720718792,28.8373,2333.0626486178785,0.0008577999999999999,0.0
79.180944,341.720498,528484.2461278436,-1049838.1206341414,28.8146,2366.8404588445433,0.00016369999999999997,0.0006113
79.180635,341.720637,528501.973475571,-1049866.9943937808,28.8176,2400.7219117821733,0.0,0.000525
79.18032600000001,341.720779,528519.7559463672,-1049895.8404151478,28.8213,2434.6086232827197,0.0003861,0.00038050000000000003
79.180017,341.72092200000003,528537.5568954811,-1049924.6771448944,28.8277,2468.497128292992,-0.0002983,0.0004918
79.17970799999999,341.721063,528555.3213489851,-1049953.5322571779,28.8487,2502.3821295942857,-0.0006177,0.0003278
79.17939799999999,341.721207,528573.1900608002,-1049982.4572186917,28.8572,2536.3813098859955,0.0,0.0001901
79.179089,341.72134900000003,528590.973147567,-1050011.3029717514,28.8694,2570.2681162350655,-0.0013713,0.0001909
79.17878,341.721491,528608.7563880091,-1050040.148657909,28.9084,2604.1549462803023,-0.0015539000000000002,0.0
79.17846999999999,341.721632,528626.5705844591,-1050069.1010947544,28.9665,2638.1489044854707,-0.0019680999999999995,0.00010829999999999999
79.178161,341.72177200000004,528644.3174766793,-1050097.9651005077,28.9989,2672.0322781605205,0.0,-0.0010784
79.177851,341.72191200000003,528662.1136505775,-1050126.9266317717,28.9862,2706.024543436161,0.0012026,-0.0035826
79.177541,341.722049,528679.8549906274,-1050155.9157788404,28.939,2740.011685042018,0.0010812,-0.0015197000000000001
79.177231,341.72218399999997,528697.5598214589,-1050184.92331699,28.9,2773.9954797723367,0.001693,0.00044619999999999995
79.176921,341.72231800000003,528715.2464697268,-1050213.9400202516,28.8851,2807.9776308978926,0.0,0.0010425
79.176611,341.72245,528732.896603714,-1050242.9751176797,28.8984,2841.9565083429593,-0.00018119999999999999,0.0008752
79.176301,341.72258,528750.5102203804,-1050272.0286111236,28.9299,2875.93216099842,-0.0010584000000000001,0.0016982
79.17599,341.722708,528768.1364482008,-1050301.198093206,29.0015,2910.0135722387154,-0.0031162,0.0009537
79.17568,341.722833,528785.658689609,-1050330.2976132017,29.0591,2943.981365925545,-0.0013372,-0.0008253000000000001
79.17536899999999,341.72295499999996,528803.175203302,-1050359.5223553684,29.0279,2978.0535511601906,0.002575,-0.0012818
79.17505899999999,341.723076,528820.6243864364,-1050388.6586817447,28.9649,3012.0152870812194,0.0002371,-0.0014025
79.174748,341.72319300000004,528838.0495019375,-1050417.929464413,29.0212,3046.0801277273167,-0.0032171,0.0004434
79.174438,341.723307,528855.3706127823,-1050447.1302955917,29.1385,3080.031702395056,-0.003013,0.0013402000000000002
79.174127,341.723419,528872.7043137553,-1050476.4471284924,29.1342,3114.089504449067,0.0031445,0.00144
79.173816,341.723526,528889.9464649921,-1050505.8100669894,29.0568,3148.140553426336,0.0014712,0.0011619000000000002
79.173505,341.723631,528907.1520646936,-1050535.1914220874,29.0482,3182.188999624099,-0.0009602,-0.0004261
79.173194,341.723733,528924.3027739751,-1050564.6004270597,29.0487,3216.2336233159285,0.0001929,-0.0018852
79.172884,341.723833,528941.3677908634,-1050593.9302625319,29.0091,3250.1667052599933,0.0021089000000000004,-0.0020428
79.172572,341.72393,528958.4761764733,-1050623.4829332524,28.9517,3284.314285040883,0.0017366,-0.00042469999999999997
79.17226099999999,341.72402400000004,528975.4805251468,-1050652.9656710138,29.0029,3318.3492626333696,-0.0042267,0.000479
79.17195,341.724113,528992.3932901877,-1050682.494534101,29.0674,3352.378593754569,0.00024019999999999996,-0.0007034
79.17164,341.724199,529009.2020062387,-1050711.953470864,29.0751,3386.2955790346755,-0.0012427999999999999,-0.0017608
79.171328,341.724284,529026.090749656,-1050741.6167879773,29.1009,3420.4297559893057,-0.00035350000000000003,-0.0021339
79.171017,341.72436400000004,529042.8387580246,-1050771.2286499634,29.088,3454.449722988126,0.0010585999999999998,-0.001327
79.17070600000001,341.724441,529059.5318378661,-1050800.8681837171,29.0946,3488.4667904062876,-0.0003588,0.00023609999999999997
79.170395,341.724516,529076.1883249723,-1050830.5261577452,29.1062,3522.4819926865503,0.0004622,0.0013069000000000002
79.170084,341.724588,529092.7898752711,-1050860.211808196,29.09,3556.4944803200233,0.00043769999999999996,0.0004604
79.16977299999999,341.724657,529109.3364840957,-1050889.9251376837,29.0794,3590.5043643662375,0.0002674,-0.0001071
79.169461,341.72472400000004,529125.8956242519,-1050919.7545038764,29.1006,3624.621753043743,-0.0016514,-0.000341
79.16915,341.724789,529142.369021837,-1050949.5047283755,29.1395,3658.628350723304,-0.0011709000000000001,-0.0021544
79.168839,341.724854,529158.8424951565,-1050979.2549318501,29.1556,3692.634966697106,0.0002745,0.0
79.16852800000001,341.724916,529175.2610135055,-1051009.0328218525,29.1374,3726.6392381607156,0.0006563,0.0016858
79.168217,341.724977,529191.661260385,-1051038.81992869,29.1436,3760.6427649110647,-0.0009406000000000001,0.0012399000000000002
79.167905,341.725037,529208.0923703501,-1051068.7138432548,29.1888,3794.754749647997,-0.0014619000000000001,-0.0005622000000000001
79.16759499999999,341.725095,529224.3885883659,-1051098.4310330115,29.228,3828.6469034398533,-0.0005016,-0.0039124
79.167284,341.725152,529240.7156653039,-1051128.2550327813,29.1878,3862.6475564277844,0.0029837,-0.0043996
