,dist_along,ATM_elev,idx_ATM,z_ATL06,t_ATL06,idx_ATL06,gt_ATL06,slope_ATM,slope_ATL06,residuals
0,49165.513987240236,44.89925,1442.0,42.769033500000006,2018-10-18 15:53:52,617767.0,gt1l,0.002336530920575105,0.009301783473892114,-2.130216499999996
1,49099.62570874825,44.7453,1440.0,42.156155,2018-10-18 15:53:52,621074.0,gt1r,,,-2.589145000000002
2,45936.55496996295,36.591800000000006,1343.0,34.448452,2018-10-18 15:53:52,624012.0,gt2l,0.009535134475791891,0.024877096035027992,-2.143348000000003
3,45871.38022055823,35.97035,1341.0,32.827093500000004,2018-10-18 15:53:52,626687.0,gt2r,,,-3.1432564999999997
4,91172.74038180435,294.13865,2671.0,,2018-10-21 05:21:45,205271.0,gt2r,,,
5,94353.39090984603,270.6906,2769.0,255.108995,2018-10-21 05:21:45,205803.0,gt3r,,,-15.581605000000025
6,104090.78179945413,415.6249,3034.0,361.948,2018-10-25 05:13:27,398282.0,gt1l,0.04989434203791907,-0.9306246533700882,-53.676900000000046
7,104059.44457891694,414.06135,3033.0,391.11118999999997,2018-10-25 05:13:27,400497.0,gt1r,,,-22.95016000000004
8,107139.32379431053,425.3127,3133.0,,2018-10-25 05:13:27,401953.0,gt2l,0.0,,
9,107262.25167928658,425.3127,3137.0,410.57587,2018-10-25 05:13:27,403762.0,gt2r,,,-14.736829999999998
10,110366.99918223236,520.87835,3235.0,509.48932,2018-10-25 05:13:27,405087.0,gt3l,0.002610113341274413,0.004588283946314641,-11.389029999999934
11,110431.00023435467,521.0454,3237.0,509.782975,2018-10-25 05:13:27,406842.0,gt3r,,,-11.26242499999995
12,82369.4196121211,136.59235,2408.0,108.349335,2018-10-26 15:37:16,431219.0,gt1l,0.002121340213913992,0.012038214322778169,-28.243015000000014
13,82267.22006931415,136.37555,2405.0,107.119035,2018-10-26 15:37:16,435063.0,gt1r,,,-29.256515000000007
14,78966.05719297829,120.9547,2308.0,96.1758,2018-10-26 15:37:16,438910.0,gt2l,0.0018292894429474626,-0.01312806064739092,-24.778900000000007
15,78898.16197799258,120.8305,2306.0,97.0671325,2018-10-26 15:37:16,442774.0,gt2r,,,-23.7633675
16,75570.53164978817,90.80875,2206.0,28.308387,2018-10-26 15:37:16,446614.0,gt3l,0.00932151637159446,-0.006401742144945235,-62.50036300000001
17,75505.07556134967,90.1986,2204.0,28.72742,2018-10-26 15:37:16,450516.0,gt3r,,,-61.471180000000004
18,49792.6557044782,45.614,1461.0,44.93304000000001,2018-11-11 04:14:44,651541.0,gt1l,0.0,-0.009135547581547013,-0.6809599999999847
19,49891.832955968865,45.614,1464.0,44.0270015,2018-11-11 04:14:44,654324.0,gt1r,,,-1.5869985
20,53093.19030554752,41.7423,1538.0,38.93544,2018-11-11 04:14:44,657927.0,gt2l,-0.004355485104183362,0.01898762552423237,-2.8068600000000004
21,53158.26916432441,41.45885,1540.0,40.17113300000001,2018-11-11 04:14:44,661532.0,gt2r,,,-1.2877169999999865
22,56385.61812833666,27.2097,1638.0,28.129114500000004,2018-11-11 04:14:44,665513.0,gt3l,-2.201132967216373e-05,-0.0011625625321453848,0.919414500000002
23,56451.493294516906,27.20825,1640.0,28.0525305,2018-11-11 04:14:44,669478.0,gt3r,,,0.8442805
24,66150.65550138183,27.06355,1935.0,28.661965500000004,2018-11-15 04:06:22,330937.0,gt1l,,,1.598415500000005
25,66745.34497847216,27.0652,1936.0,29.29736,2018-11-15 04:06:22,334883.0,gt1r,,,2.2321600000000004
26,69601.43646664455,27.05135,2023.0,28.8511505,2018-11-15 04:06:22,338759.0,gt2l,-1.5421704960346395e-05,0.007696556559692882,1.7998005
27,69666.28014006256,27.05035,2025.0,29.3502235,2018-11-15 04:06:22,342697.0,gt2r,,,2.299873499999997
28,72786.57024525803,27.3634,2121.0,68.897153,2018-11-15 04:06:22,346606.0,gt3l,0.035503048750369116,-0.02217470189320906,41.533753000000004
29,72852.08152053902,29.68925,2123.0,67.44445999999999,2018-11-15 04:06:22,350504.0,gt3r,,,37.75520999999999
30,43829.59800902073,27.7627,1279.0,,2018-11-16 14:30:09,167107.0,gt1l,,,
31,43829.59800902073,27.7627,1279.0,,2018-11-16 14:30:09,169759.0,gt1r,,,
32,82505.62653136277,137.2012,2412.0,108.820047,2018-11-19 03:57:57,354083.0,gt1l,0.003465064691216898,0.01521531851567657,-28.381152999999998
