# Filename: ILATM2_20140429_160642_smooth_nadir3seg_50pt.csv
# Input filename: ILATM1B_20140429_160642.ATM4BT4.qi
# Number of segments: 3
# Nadir block width: 80.0m
# Output interval: 0.25sec
# Smoothing interval: 0.5sec
# Trajectory file used: 140429_aa_l12_cfm_itrf08_05jun14_b898
# International Terrestrial Reference Frame: ITRF08
#
# UTC_Seconds_Of_Day, Latitude(deg), Longitude(deg), WGS84_Ellipsoid_Height(m), South-to-North_Slope, West-to-East_Slope, RMS_Fit(cm), Number_Of_ATM_Measurments_Used, Number_Of_ATM_Measurements_Removed, Distance_Of_Block_To_The_Right_Of_Aircraft(m), Track_Identifier
57989.00, 78.979594, 337.901873, 363.1805, -0.0197561, -0.1019479, 30.92, 578, 1, 33, 1
57989.00, 78.978822, 337.900435, 369.2563, -0.0357621, -0.1162330, 43.59, 306, 29, -58, 2
57989.00, 78.978050, 337.898996, 375.7143, -0.0297370, -0.0907472, 43.91, 580, 18, -150, 3
57989.00, 78.979317, 337.901357, 365.0746, -0.0294605, -0.1107788, 30.79, 313, 11, 0, 0
57989.25, 78.979720, 337.900525, 365.7954, -0.0262936, -0.0994260, 28.00, 572, 2, 36, 1
57989.25, 78.978944, 337.899076, 372.0407, -0.0402536, -0.1134116, 26.34, 326, 15, -55, 2
57989.25, 78.978169, 337.897628, 378.1499, -0.0224764, -0.1118274, 21.24, 554, 39, -147, 3
57989.25, 78.979413, 337.899951, 368.0239, -0.0317235, -0.1066941, 28.16, 313, 8, 0, 0
57989.50, 78.979853, 337.899196, 368.5824, -0.0186941, -0.1193480, 34.57, 573, 0, 41, 1
57989.50, 78.979079, 337.897740, 374.9149, -0.0317447, -0.1274916, 21.62, 342, 0, -51, 2
57989.50, 78.978304, 337.896285, 381.2028, -0.0238494, -0.1286278, 22.35, 589, 0, -142, 3
57989.50, 78.979508, 337.898547, 371.1722, -0.0306812, -0.1262467, 20.86, 320, 1, 0, 0
57989.75, 78.979997, 337.897880, 371.7966, -0.0179948, -0.1278642, 39.66, 564, 0, 46, 1
57989.75, 78.979221, 337.896423, 378.0531, -0.0287114, -0.1297171, 25.57, 337, 7, -45, 2
57989.75, 78.978445, 337.894967, 384.5283, -0.0269316, -0.1396598, 21.64, 585, 1, -137, 3
57989.75, 78.979605, 337.897143, 374.8514, -0.0262688, -0.1384374, 34.56, 316, 0, 0, 0
57990.00, 78.980160, 337.896607, 374.9020, -0.0197950, -0.1323885, 32.01, 559, 2, 54, 1
57990.00, 78.979378, 337.895128, 381.2722, -0.0281020, -0.1344293, 30.22, 347, 2, -38, 2
57990.00, 78.978595, 337.893650, 388.3249, -0.0227416, -0.1601412, 24.16, 582, 2, -131, 3
57990.00, 78.979701, 337.895739, 378.5520, -0.0272390, -0.1289561, 34.40, 310, 1, 0, 0
57990.25, 78.980327, 337.895331, 377.9829, -0.0241436, -0.1290226, 28.17, 550, 0, 63, 1
57990.25, 78.979540, 337.893849, 384.6589, -0.0293631, -0.1518760, 24.83, 350, 0, -31, 2
57990.25, 78.978752, 337.892366, 392.2697, -0.0270299, -0.1636886, 27.31, 584, 0, -124, 3
57990.25, 78.979798, 337.894335, 382.2750, -0.0269268, -0.1457405, 22.89, 295, 5, 0, 0
57990.50, 78.980506, 337.894081, 381.1866, -0.0257338, -0.1493355, 24.94, 531, 11, 72, 1
57990.50, 78.979716, 337.892596, 388.4436, -0.0280746, -0.1725034, 22.24, 342, 9, -21, 2
57990.50, 78.978926, 337.891111, 396.0473, -0.0295783, -0.1653124, 34.23, 590, 0, -115, 3
57990.50, 78.979895, 337.892932, 386.6666, -0.0263052, -0.1710426, 20.95, 295, 6, 0, 0
57990.75, 78.980681, 337.892820, 384.9328, -0.0245805, -0.1643788, 24.10, 533, 1, 81, 1
57990.75, 78.979893, 337.891340, 392.2484, -0.0333346, -0.1598571, 33.52, 356, 0, -12, 2
57990.75, 78.979106, 337.889859, 399.7324, -0.0283083, -0.1525388, 34.72, 590, 5, -105, 3
57990.75, 78.979992, 337.891525, 391.2570, -0.0316341, -0.1594521, 33.33, 307, 0, 0, 0
57991.00, 78.980857, 337.891565, 388.7837, -0.0258647, -0.1589604, 29.55, 527, 3, 91, 1
57991.00, 78.980071, 337.890086, 395.7904, -0.0308199, -0.1548715, 35.62, 354, 0, -2, 2
57991.00, 78.979286, 337.888607, 402.9809, -0.0279525, -0.1300919, 24.65, 591, 9, -95, 3
57991.00, 78.980089, 337.890118, 395.5977, -0.0314896, -0.1551649, 34.83, 304, 0, 0, 0
57991.25, 78.981022, 337.890287, 392.3386, -0.0280841, -0.1382973, 39.39, 519, 1, 99, 1
57991.25, 78.980246, 337.888826, 399.1063, -0.0308354, -0.1321473, 34.38, 356, 0, 7, 2
57991.25, 78.979470, 337.887365, 405.7321, -0.0279672, -0.1205526, 21.61, 604, 5, -85, 3
57991.25, 78.980185, 337.888712, 399.6115, -0.0330327, -0.1320330, 33.70, 306, 0, 0, 0
57991.50, 78.981165, 337.888964, 395.5556, -0.0301657, -0.1191136, 37.73, 517, 0, 104, 1
57991.50, 78.980408, 337.887540, 401.9443, -0.0327396, -0.1157741, 22.84, 341, 6, 15, 2
57991.50, 78.979650, 337.886116, 408.1596, -0.0307574, -0.1060354, 21.42, 624, 1, -75, 3
57991.50, 78.980282, 337.887304, 403.0046, -0.0326669, -0.1167680, 22.31, 314, 2, 0, 0
57991.75, 78.981296, 337.887614, 398.4488, -0.0317186, -0.1122447, 29.40, 523, 0, 108, 1
57991.75, 78.980560, 337.886235, 404.5671, -0.0336696, -0.1146802, 20.18, 340, 1, 21, 2
57991.75, 78.979823, 337.884855, 410.3253, -0.0279844, -0.0932075, 17.65, 634, 9, -66, 3
57991.75, 78.980379, 337.885896, 406.0743, -0.0322862, -0.1122844, 19.93, 330, 1, 0, 0
57992.00, 78.981413, 337.886244, 401.2623, -0.0315169, -0.1135522, 25.46, 522, 1, 111, 1
57992.00, 78.980697, 337.884903, 407.2090, -0.0332751, -0.1063546, 23.24, 335, 0, 26, 2
57992.00, 78.979982, 337.883562, 412.3619, -0.0262875, -0.0861420, 19.81, 639, 2, -58, 3
57992.00, 78.980475, 337.884487, 408.9293, -0.0303141, -0.0994722, 20.86, 332, 4, 0, 0
57992.25, 78.981521, 337.884846, 404.0637, -0.0329355, -0.1059833, 25.49, 526, 0, 112, 1
57992.25, 78.980817, 337.883534, 409.6222, -0.0349774, -0.0863605, 20.41, 315, 8, 29, 2
57992.25, 78.980112, 337.882221, 414.2557, -0.0276800, -0.0688255, 20.85, 641, 5, -54, 3
57992.25, 78.980571, 337.883076, 411.3313, -0.0312032, -0.0815207, 18.75, 338, 1, 0, 0
57992.50, 78.981622, 337.883439, 406.6294, -0.0338860, -0.0942840, 20.70, 517, 4, 113, 1
57992.50, 78.980925, 337.882143, 411.5862, -0.0344446, -0.0733618, 17.52, 320, 3, 31, 2
57992.50, 78.980228, 337.880848, 415.7760, -0.0268777, -0.0550721, 18.71, 640, 5, -52, 3
57992.50, 78.980667, 337.881663, 413.2439, -0.0314529, -0.0677637, 16.52, 342, 0, 0, 0
57992.75, 78.981721, 337.882017, 408.7914, -0.0327489, -0.0794387, 21.04, 512, 2, 113, 1
57992.75, 78.981028, 337.880740, 413.3317, -0.0310591, -0.0682553, 15.97, 333, 0, 31, 2
57992.75, 78.980335, 337.879463, 417.0449, -0.0229001, -0.0462028, 19.82, 636, 0, -50, 3
57992.75, 78.980762, 337.880251, 414.8788, -0.0277540, -0.0618235, 16.26, 348, 0, 0, 0
57993.00, 78.981809, 337.880587, 410.7586, -0.0319199, -0.0734098, 15.17, 502, 4, 112, 1
57993.00, 78.981114, 337.879307, 415.0747, -0.0258340, -0.0639555, 19.78, 325, 0, 30, 2
57993.00, 78.980418, 337.878028, 418.1908, -0.0173163, -0.0330785, 20.59, 623, 5, -52, 3
57993.00, 78.980857, 337.878836, 416.3710, -0.0238888, -0.0554320, 18.04, 339, 2, 0, 0
57993.25, 78.981888, 337.879129, 412.7269, -0.0285907, -0.0720977, 18.59, 500, 3, 110, 1
57993.25, 78.981189, 337.877852, 416.5687, -0.0253392, -0.0442853, 12.74, 318, 8, 28, 2
57993.25, 78.980490, 337.876576, 419.0975, -0.0119136, -0.0271683, 14.04, 613, 2, -54, 3
57993.25, 78.980952, 337.877420, 417.5855, -0.0220975, -0.0405519, 14.35, 332, 2, 0, 0
57993.50, 78.981957, 337.877652, 414.5279, -0.0238666, -0.0588423, 18.00, 498, 1, 107, 1
57993.50, 78.981257, 337.876382, 417.7631, -0.0224271, -0.0445015, 11.96, 324, 1, 25, 2
57993.50, 78.980557, 337.875113, 420.0042, -0.0071847, -0.0351442, 13.05, 595, 3, -58, 3
57993.50, 78.981046, 337.876000, 418.5921, -0.0182068, -0.0407841, 12.43, 329, 3, 0, 0
57993.75, 78.982020, 337.876171, 416.1664, -0.0190378, -0.0569141, 10.40, 497, 3, 104, 1
57993.75, 78.981321, 337.874910, 419.1881, -0.0154066, -0.0547508, 14.44, 309, 0, 21, 2
57993.75, 78.980622, 337.873649, 421.2555, -0.0023077, -0.0466866, 13.12, 594, 1, -61, 3
57993.75, 78.981140, 337.874583, 419.8398, -0.0121443, -0.0526129, 14.76, 318, 0, 0, 0
57994.00, 78.982077, 337.874671, 417.9163, -0.0202778, -0.0592975, 10.77, 499, 4, 99, 1
57994.00, 78.981379, 337.873424, 420.9069, -0.0119460, -0.0573254, 14.09, 317, 2, 17, 2
57994.00, 78.980681, 337.872177, 422.7180, 0.0015685, -0.0400662, 15.45, 576, 12, -65, 3
57994.00, 78.981233, 337.873164, 421.4000, -0.0091884, -0.0565209, 13.19, 317, 2, 0, 0
57994.25, 78.982133, 337.873175, 419.6409, -0.0242022, -0.0565854, 10.87, 497, 5, 95, 1
57994.25, 78.981436, 337.871937, 422.5290, -0.0113122, -0.0488355, 15.69, 332, 2, 13, 2
57994.25, 78.980739, 337.870699, 423.8613, 0.0009770, -0.0302085, 11.12, 573, 14, -69, 3
57994.25, 78.981326, 337.871741, 422.8705, -0.0090876, -0.0464132, 15.52, 326, 4, 0, 0
57994.50, 78.982187, 337.871671, 421.3148, -0.0226277, -0.0573847, 12.42, 514, 3, 90, 1
57994.50, 78.981492, 337.870448, 423.8466, -0.0074809, -0.0345700, 15.70, 318, 7, 9, 2
57994.50, 78.980797, 337.869226, 424.8299, -0.0039425, -0.0371719, 19.49, 576, 10, -73, 3
57994.50, 78.981418, 337.870318, 423.9910, -0.0056170, -0.0318588, 16.15, 322, 3, 0, 0
57994.75, 78.982240, 337.870176, 422.8585, -0.0191396, -0.0501916, 14.45, 512, 10, 86, 1
57994.75, 78.981550, 337.868966, 424.7623, -0.0047603, -0.0265427, 12.35, 304, 4, 5, 2
57994.75, 78.980860, 337.867756, 426.0993, -0.0123641, -0.0604851, 19.71, 567, 19, -76, 3
57994.75, 78.981509, 337.868895, 424.8275, -0.0036081, -0.0267483, 12.45, 307, 2, 0, 0
57995.00, 78.982295, 337.868691, 424.1387, -0.0141107, -0.0432197, 14.62, 523, 3, 82, 1
57995.00, 78.981614, 337.867493, 425.8201, -0.0030858, -0.0444978, 16.13, 317, 1, 2, 2
57995.00, 78.980933, 337.866296, 427.9592, -0.0163759, -0.0739449, 9.98, 569, 12, -78, 3
57995.00, 78.981600, 337.867468, 425.8529, -0.0029758, -0.0448759, 16.53, 315, 1, 0, 0
57995.25, 78.982357, 337.867199, 425.4769, -0.0109657, -0.0473345, 11.09, 534, 0, 78, 1
57995.25, 78.981685, 337.866033, 427.3722, -0.0078937, -0.0577313, 15.48, 328, 0, -1, 2
57995.25, 78.981014, 337.864867, 430.1061, -0.0185404, -0.0804324, 11.85, 586, 3, -79, 3
57995.25, 78.981691, 337.866043, 427.3535, -0.0079998, -0.0576368, 15.51, 333, 1, 0, 0
57995.50, 78.982429, 337.865734, 426.8961, -0.0130462, -0.0484762, 10.13, 532, 5, 76, 1
57995.50, 78.981764, 337.864587, 429.1874, -0.0137098, -0.0659206, 12.10, 321, 4, -2, 2
57995.50, 78.981098, 337.863439, 432.3061, -0.0225128, -0.0799644, 10.04, 594, 3, -80, 3
57995.50, 78.981781, 337.864617, 429.1176, -0.0135633, -0.0656878, 11.93, 328, 7, 0, 0
57995.75, 78.982510, 337.864287, 428.3796, -0.0155693, -0.0542048, 9.78, 531, 7, 75, 1
57995.75, 78.981848, 337.863150, 431.0758, -0.0169580, -0.0658540, 9.84, 319, 0, -3, 2
57995.75, 78.981186, 337.862014, 434.4163, -0.0248944, -0.0747569, 9.05, 598, 2, -80, 3
57995.75, 78.981871, 337.863190, 430.9782, -0.0166435, -0.0655784, 9.83, 327, 0, 0, 0
57996.00, 78.982594, 337.862845, 430.0129, -0.0198933, -0.0587985, 10.41, 533, 1, 74, 1
57996.00, 78.981934, 337.861716, 432.9157, -0.0191910, -0.0661601, 8.94, 314, 0, -3, 2
57996.00, 78.981274, 337.860588, 436.3525, -0.0262232, -0.0683057, 7.70, 594, 5, -80, 3
57996.00, 78.981961, 337.861762, 432.7955, -0.0190025, -0.0659469, 9.03, 320, 2, 0, 0
57996.25, 78.982681, 337.861409, 431.7037, -0.0211248, -0.0627717, 8.63, 532, 1, 74, 1
57996.25, 78.982021, 337.860286, 434.6563, -0.0225960, -0.0614021, 8.51, 307, 1, -3, 2
57996.25, 78.981361, 337.859162, 438.0867, -0.0271229, -0.0618529, 8.46, 607, 1, -81, 3
57996.25, 78.982050, 337.860335, 434.5199, -0.0220979, -0.0614676, 8.77, 318, 1, 0, 0
57996.50, 78.982764, 337.859971, 433.3567, -0.0223906, -0.0588271, 9.18, 519, 11, 73, 1
57996.50, 78.982100, 337.858841, 436.2773, -0.0234311, -0.0571885, 9.30, 320, 0, -4, 2
57996.50, 78.981437, 337.857712, 439.5919, -0.0284687, -0.0489050, 9.06, 603, 5, -82, 3
57996.50, 78.982138, 337.858906, 436.1042, -0.0228611, -0.0572637, 9.17, 329, 0, 0, 0
57996.75, 78.982842, 337.858522, 434.8305, -0.0221316, -0.0519546, 10.56, 531, 2, 72, 1
57996.75, 78.982174, 337.857391, 437.7097, -0.0253536, -0.0488441, 8.04, 333, 1, -6, 2
57996.75, 78.981507, 337.856260, 440.8265, -0.0259547, -0.0418312, 11.96, 606, 1, -84, 3
57996.75, 78.982227, 337.857480, 437.4737, -0.0250343, -0.0488991, 8.29, 342, 0, 0, 0
57997.00, 78.982912, 337.857058, 436.1698, -0.0217340, -0.0462948, 8.47, 533, 0, 70, 1
57997.00, 78.982243, 337.855930, 438.9234, -0.0258976, -0.0423538, 9.19, 333, 0, -8, 2
57997.00, 78.981574, 337.854801, 441.8230, -0.0247687, -0.0315030, 9.92, 601, 1, -87, 3
57997.00, 78.982315, 337.856051, 438.6133, -0.0252467, -0.0426855, 9.30, 341, 0, 0, 0
57997.25, 78.982981, 337.855600, 437.3050, -0.0218767, -0.0386267, 9.43, 536, 1, 68, 1
57997.25, 78.982310, 337.854467, 439.9641, -0.0249822, -0.0372319, 8.65, 331, 1, -11, 2
57997.25, 78.981639, 337.853333, 442.5244, -0.0227789, -0.0212593, 13.30, 598, 0, -89, 3
57997.25, 78.982403, 337.854624, 439.5784, -0.0248806, -0.0372197, 8.79, 340, 1, 0, 0
57997.50, 78.983045, 337.854131, 438.2459, -0.0227741, -0.0323666, 8.67, 539, 0, 65, 1
57997.50, 78.982372, 337.853000, 440.8002, -0.0238477, -0.0266805, 15.32, 333, 0, -14, 2
57997.50, 78.981700, 337.851869, 442.9485, -0.0208624, -0.0125965, 9.22, 590, 6, -92, 3
57997.50, 78.982490, 337.853198, 440.3516, -0.0237598, -0.0288041, 15.78, 340, 0, 0, 0
57997.75, 78.983111, 337.852663, 439.0040, -0.0234664, -0.0269390, 10.46, 544, 0, 62, 1
57997.75, 78.982437, 337.851533, 441.3056, -0.0234280, -0.0154367, 10.91, 327, 0, -17, 2
57997.75, 78.981763, 337.850403, 443.1559, -0.0217918, -0.0105565, 8.51, 597, 2, -95, 3
57997.75, 78.982578, 337.851770, 440.8530, -0.0234120, -0.0174992, 10.78, 330, 4, 0, 0
57998.00, 78.983173, 337.851189, 439.5827, -0.0231056, -0.0210244, 8.41, 549, 0, 59, 1
57998.00, 78.982498, 337.850062, 441.6363, -0.0188883, -0.0138523, 14.21, 325, 0, -20, 2
57998.00, 78.981823, 337.848935, 443.3640, -0.0216081, -0.0121334, 7.66, 597, 1, -98, 3
57998.00, 78.982666, 337.850342, 441.1799, -0.0199824, -0.0175030, 14.19, 330, 0, 0, 0
57998.25, 78.983237, 337.849727, 440.0405, -0.0232447, -0.0190303, 9.97, 541, 9, 57, 1
57998.25, 78.982561, 337.848597, 441.8387, -0.0187701, -0.0076941, 9.48, 330, 0, -22, 2
57998.25, 78.981884, 337.847467, 443.6437, -0.0216931, -0.0158392, 8.40, 599, 0, -101, 3
57998.25, 78.982753, 337.848918, 441.3906, -0.0181224, -0.0066805, 10.07, 325, 12, 0, 0
57998.50, 78.983301, 337.848261, 440.2550, -0.0219211, -0.0091752, 11.85, 548, 2, 54, 1
57998.50, 78.982622, 337.847130, 441.9763, -0.0220139, -0.0115215, 8.94, 322, 5, -25, 2
57998.50, 78.981944, 337.845999, 444.0720, -0.0227222, -0.0238164, 9.26, 596, 5, -105, 3
57998.50, 78.982840, 337.847492, 441.4098, -0.0199370, -0.0068661, 10.56, 336, 3, 0, 0
57998.75, 78.983365, 337.846797, 440.3464, -0.0204550, -0.0084859, 8.96, 547, 4, 51, 1
57998.75, 78.982686, 337.845665, 442.3416, -0.0226624, -0.0233446, 9.66, 318, 6, -28, 2
57998.75, 78.982006, 337.844533, 444.7090, -0.0240449, -0.0294232, 9.35, 595, 2, -107, 3
57998.75, 78.982926, 337.846066, 441.5806, -0.0224112, -0.0177018, 12.73, 332, 3, 0, 0
57999.00, 78.983429, 337.845338, 440.6416, -0.0217573, -0.0174264, 11.08, 552, 0, 49, 1
57999.00, 78.982748, 337.844204, 442.9578, -0.0237318, -0.0271545, 6.64, 328, 2, -31, 2
57999.00, 78.982068, 337.843069, 445.3965, -0.0240141, -0.0246838, 12.32, 589, 0, -110, 3
57999.00, 78.983013, 337.844645, 442.0110, -0.0239870, -0.0251558, 7.19, 341, 1, 0, 0
57999.25, 78.983494, 337.843879, 441.1850, -0.0219290, -0.0255392, 7.69, 542, 6, 46, 1
57999.25, 78.982814, 337.842743, 443.6521, -0.0241715, -0.0285267, 8.55, 331, 1, -33, 2
57999.25, 78.982133, 337.841606, 445.9136, -0.0225768, -0.0167038, 8.74, 573, 13, -113, 3
57999.25, 78.983100, 337.843221, 442.5847, -0.0250312, -0.0279487, 8.01, 347, 1, 0, 0
57999.50, 78.983561, 337.842422, 441.8371, -0.0222759, -0.0261662, 6.86, 542, 1, 44, 1
57999.50, 78.982881, 337.841287, 444.2252, -0.0237728, -0.0194541, 9.87, 323, 2, -36, 2
57999.50, 78.982200, 337.840152, 446.2548, -0.0225776, -0.0160921, 7.95, 579, 4, -115, 3
57999.50, 78.983187, 337.841798, 443.1556, -0.0248233, -0.0252132, 9.16, 339, 1, 0, 0
57999.75, 78.983632, 337.840975, 442.4438, -0.0219100, -0.0251951, 8.31, 545, 0, 42, 1
57999.75, 78.982951, 337.839835, 444.6089, -0.0202493, -0.0169576, 8.78, 320, 0, -38, 2
57999.75, 78.982269, 337.838696, 446.5985, -0.0235038, -0.0186787, 8.85, 577, 0, -117, 3
57999.75, 78.983274, 337.840376, 443.6308, -0.0229435, -0.0216099, 7.66, 331, 6, 0, 0
58000.00, 78.983704, 337.839531, 442.9773, -0.0197328, -0.0223618, 8.31, 550, 2, 40, 1
58000.00, 78.983022, 337.838386, 444.9297, -0.0200403, -0.0138414, 6.74, 320, 2, -39, 2
58000.00, 78.982341, 337.837242, 446.9680, -0.0245141, -0.0182277, 8.60, 579, 1, -119, 3
58000.00, 78.983360, 337.838954, 443.9823, -0.0203724, -0.0161868, 9.96, 342, 2, 0, 0
58000.25, 78.983779, 337.838096, 443.3961, -0.0185757, -0.0174441, 7.58, 555, 0, 39, 1
58000.25, 78.983099, 337.836949, 445.2001, -0.0199176, -0.0143214, 7.41, 325, 2, -41, 2
58000.25, 78.982419, 337.835803, 447.2112, -0.0247104, -0.0099651, 10.09, 578, 3, -120, 3
58000.25, 78.983447, 337.837537, 444.2721, -0.0180992, -0.0152759, 6.06, 345, 3, 0, 0
58000.50, 78.983861, 337.836672, 443.6949, -0.0176066, -0.0145328, 7.11, 553, 3, 38, 1
58000.50, 78.983181, 337.835525, 445.3614, -0.0214343, -0.0080179, 7.49, 325, 1, -41, 2
58000.50, 78.982501, 337.834378, 447.1996, -0.0234546, -0.0010306, 10.35, 582, 1, -121, 3
58000.50, 78.983534, 337.836121, 444.4821, -0.0178059, -0.0097969, 9.55, 348, 0, 0, 0
58000.75, 78.983955, 337.835265, 443.8338, -0.0167958, -0.0085146, 9.56, 550, 4, 39, 1
58000.75, 78.983272, 337.834113, 445.3172, -0.0219552, -0.0030323, 8.12, 318, 1, -41, 2
58000.75, 78.982589, 337.832961, 446.9936, -0.0213730, 0.0027255, 8.61, 584, 1, -121, 3
58000.75, 78.983622, 337.834703, 444.5144, -0.0171135, -0.0034502, 8.22, 343, 0, 0, 0
58001.00, 78.984051, 337.833866, 443.7645, -0.0165974, -0.0011699, 8.25, 558, 0, 40, 1
58001.00, 78.983364, 337.832705, 445.1285, -0.0216447, 0.0009344, 7.48, 315, 1, -40, 2
58001.00, 78.982678, 337.831545, 446.6866, -0.0199421, 0.0059220, 8.89, 596, 0, -121, 3
58001.00, 78.983709, 337.833288, 444.3903, -0.0169922, 0.0006430, 7.77, 339, 1, 0, 0
58001.25, 78.984148, 337.832471, 443.5551, -0.0158172, 0.0015594, 8.24, 555, 0, 41, 1
58001.25, 78.983458, 337.831302, 444.8420, -0.0210315, 0.0035465, 7.72, 323, 1, -40, 2
58001.25, 78.982768, 337.830133, 446.2581, -0.0194607, 0.0110524, 8.66, 595, 0, -120, 3
