# Filename: 20180418_134200_smooth_nadir3seg_50pt.csv
# Input filename: 20180418_134200.atm6AT6.filt.qi
# Number of segments: 3
# Nadir block width: 80.0m
# Output interval: 0.25sec
# Smoothing interval: 0.5sec
# Trajectory file used: 180418_aa_l12_cfm_itrf14_14may18_b897
# International Terrestrial Reference Frame: ITRF14
#
# UTC_Seconds_Of_Day, Latitude(deg), Longitude(deg), WGS84_Ellipsoid_Height(m), South-to-North_Slope, West-to-East_Slope, RMS_Fit(cm), Number_Of_ATM_Measurments_Used, Number_Of_ATM_Measurements_Removed, Distance_Of_Block_To_The_Right_Of_Aircraft(m), Track_Identifier
49322.75, 78.963717, 338.208818, 255.3509, 0.0212268, 0.0108217, 24.61, 1957, 14, 41, 1
49322.75, 78.964864, 338.211307, 256.7334, 0.0014121, 0.0020799, 20.89, 1099, 18, -97, 2
49322.75, 78.966011, 338.213796, 252.3122, -0.0559342, -0.0133458, 34.33, 1455, 2, -236, 3
49322.75, 78.964056, 338.209553, 256.2163, 0.0072375, 0.0040134, 17.57, 768, 8, 0, 0
49323.00, 78.963468, 338.210028, 255.0682, 0.0238056, 0.0098987, 22.14, 1886, 25, 56, 1
49323.00, 78.964617, 338.212537, 256.8910, 0.0041123, 0.0116242, 18.99, 1117, 9, -82, 2
49323.00, 78.965766, 338.215046, 253.8635, -0.0649832, 0.0096826, 24.88, 1499, 32, -221, 3
49323.00, 78.963936, 338.211050, 256.2190, 0.0042738, 0.0016514, 10.80, 682, 27, 0, 0
49323.25, 78.963228, 338.211252, 254.6482, 0.0219574, 0.0080833, 14.48, 1800, 71, 71, 1
49323.25, 78.964367, 338.213757, 257.0541, 0.0090212, 0.0123046, 14.51, 1118, 10, -67, 2
49323.25, 78.965506, 338.216262, 255.7421, -0.0565222, 0.0123028, 41.18, 1596, 32, -204, 3
49323.25, 78.963816, 338.212545, 256.1655, 0.0127298, 0.0017509, 19.98, 707, 9, 0, 0
49323.50, 78.963006, 338.212509, 254.3101, 0.0194527, 0.0075455, 10.32, 1833, 14, 83, 1
49323.50, 78.964123, 338.214988, 257.0006, 0.0154747, 0.0084286, 13.86, 1078, 15, -52, 2
49323.50, 78.965241, 338.217466, 257.4027, -0.0418300, 0.0234450, 55.55, 1612, 27, -187, 3
49323.50, 78.963695, 338.214038, 256.0364, 0.0204679, 0.0044457, 10.93, 696, 9, 0, 0
49323.75, 78.962803, 338.213811, 254.0773, 0.0170613, 0.0072453, 12.11, 1841, 8, 93, 1
49323.75, 78.963888, 338.216230, 256.7578, 0.0193351, 0.0083960, 11.68, 1053, 16, -38, 2
49323.75, 78.964973, 338.218648, 258.6100, -0.0165181, 0.0262102, 49.68, 1629, 13, -169, 3
49323.75, 78.963574, 338.215529, 255.9418, 0.0219937, 0.0081376, 9.51, 665, 4, 0, 0
49324.00, 78.962616, 338.215153, 253.9085, 0.0143555, 0.0060035, 15.72, 1767, 8, 101, 1
49324.00, 78.963665, 338.217495, 256.5708, 0.0191350, 0.0120310, 11.64, 1032, 15, -26, 2
49324.00, 78.964713, 338.219837, 258.9748, 0.0052014, 0.0086984, 29.11, 1684, 26, -153, 3
49324.00, 78.963451, 338.217018, 256.0059, 0.0214612, 0.0138172, 8.25, 635, 12, 0, 0
49324.25, 78.962449, 338.216520, 253.6789, 0.0154955, -0.0008144, 18.91, 1706, 1, 107, 1
49324.25, 78.963464, 338.218810, 256.5539, 0.0206186, 0.0159576, 18.79, 851, 10, -16, 2
